Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
"Insulation, Polyurethane Board",4.531828773794587,ICE Database V5.0 (Circular Ecology)
GGBS (Ground Granulated Blast Furnace Slag),0.155,ICE Database V5.0 (Circular Ecology)
"Paint, Waterborne",2.1518303071422826,ICE Database V5.0 (Circular Ecology)
"Plaster, Glass Fibre Reinforced Plasterboard",0.3217984160206414,ICE Database V5.0 (Circular Ecology)
"Plaster, Gypsum",0.16446869122315075,ICE Database V5.0 (Circular Ecology)
"Plaster, Plasterboard",0.23813794055386647,ICE Database V5.0 (Circular Ecology)
"Rubber, Synthetic",2.5469301913402087,ICE Database V5.0 (Circular Ecology)
"Steel, Tin-free Electrolytic Chrome Coated Steel Sheet - Tin-free (ECCS)",2.87,ICE Database V5.0 (Circular Ecology)
"Steel, electrogalvanized steel",2.71,ICE Database V5.0 (Circular Ecology)
"Steel, welded pipe",2.51,ICE Database V5.0 (Circular Ecology)
"Steel, Organic coated sheet",2.88,ICE Database V5.0 (Circular Ecology)
"Steel, Tinplate",2.7,ICE Database V5.0 (Circular Ecology)
"Steel, finished cold-rolled coil",2.57,ICE Database V5.0 (Circular Ecology)
"Steel, hot-dip galvanized steel",2.62,ICE Database V5.0 (Circular Ecology)
"Steel, Plate",2.38,ICE Database V5.0 (Circular Ecology)
"Steel, Cold Rolled Coil",2.47,ICE Database V5.0 (Circular Ecology)
"Steel, pickled hot-rolled coil",2.38,ICE Database V5.0 (Circular Ecology)
"Steel, Wire rod",2.16,ICE Database V5.0 (Circular Ecology)
"Steel, Hot Rolled Coil",2.26,ICE Database V5.0 (Circular Ecology)
"Steel, Rebar",1.72,ICE Database V5.0 (Circular Ecology)
"Steel, Section",1.61,ICE Database V5.0 (Circular Ecology)
"Steel, Engineering steel",1.64,ICE Database V5.0 (Circular Ecology)
"Steel, global seamless tube",1.9,ICE Database V5.0 (Circular Ecology)
"Steel rebar, recycled, Europe EAF mid range",0.73,ICE Database V5.0 (Circular Ecology)
"Steel, Stainless",4.177857142857143,ICE Database V5.0 (Circular Ecology)
Timber - Average of all data - No Carbon Storage,0.49282614286872206,ICE Database V5.0 (Circular Ecology)
"Timber, Chipboard - No Carbon Storage",0.4001637305970765,ICE Database V5.0 (Circular Ecology)
"Timber, Closed panel timber frame system - No Carbon Storage",0.45245901639344255,ICE Database V5.0 (Circular Ecology)
"Timber, CLT - No Carbon Storage",0.25,ICE Database V5.0 (Circular Ecology)
"Timber, Fibreboard - No Carbon Storage",0.7153065020437609,ICE Database V5.0 (Circular Ecology)
"Timber, Glulam - No Carbon Storage",0.28,ICE Database V5.0 (Circular Ecology)
"Timber, Hardboard - No Carbon Storage",0.8152475357357929,ICE Database V5.0 (Circular Ecology)
